Sub-Category,Total_Sales_Volume,Sales_Volatility,Average_Order_Value,Growth_Rate_Proxy,Cluster,PCA1,PCA2,Cluster_Label
Accessories,164186.7,337.7238003025529,217.17817460317463,0.15259827990580774,1,-0.2174081842265024,-0.08157006263457997,"Low Volume, Stable Demand"
Appliances,104618.403,378.006735342579,227.92680392156865,0.2905798106063126,1,-0.22184060852437154,-0.8062316211846797,"Low Volume, Stable Demand"
Art,26705.41,60.30175206385381,34.019630573248406,-0.1282177444055912,1,-1.2951451036114217,-0.5620474837479973,"Low Volume, Stable Demand"
Binders,200028.785,568.0999701534901,134.0675502680965,0.2891628759865288,1,0.09227761780839645,-0.08511214579734817,"Low Volume, Stable Demand"
Bookcases,113813.1987,641.4192798221117,503.5982243362832,-0.2208841385195591,1,-0.19783723785326995,0.27735665505154355,"Low Volume, Stable Demand"
Chairs,322822.73099999997,551.1802962314553,531.8331647446457,-0.1536004144154533,2,0.45745503579449476,1.7256794358995682,"High Volume, High Volatility"
Copiers,146248.094,3216.185498860817,2215.8802121212125,1.019836693362715,0,4.7954523368503725,-1.956709149907789,"Moderate Volume, Growing Demand"
Envelopes,16128.046,85.17069055053564,65.03244354838709,-0.35286179234434245,1,-1.4913809307007735,-0.19628532219730943,"Low Volume, Stable Demand"
Fasteners,3001.96,12.466863518420524,14.02785046728972,0.0847726234178226,1,-1.216439488642095,-1.1635278523798767,"Low Volume, Stable Demand"
Furnishings,89212.018,148.42149027755255,95.82386466165413,0.08179585495608593,1,-0.7762969460216237,-0.5067040561563069,"Low Volume, Stable Demand"
Labels,12347.726,74.80271113497773,34.587467787114846,-0.07518871301031711,1,-1.276011018585357,-0.776023580171619,"Low Volume, Stable Demand"
Machines,189238.631,2765.102088268794,1645.5533130434783,-0.5642525493180047,2,2.4520521258700496,1.5125662552463233,"High Volume, High Volatility"
Paper,76828.304,78.49228521860516,57.42025710014948,0.004429723111258779,1,-0.9793583567286475,-0.44628270688466276,"Low Volume, Stable Demand"
Phones,327782.448,494.39022758502534,374.1808767123287,-0.16415592117630604,2,0.24857896633530696,1.7834805761483847,"High Volume, High Volatility"
Storage,219343.392,354.9074821808669,263.6338846153846,-0.09172522771575993,2,-0.2250558636505719,0.8205376052250414,"High Volume, High Volatility"
Supplies,46420.308,938.087745586469,252.28428260869563,-0.3159908630231993,1,-0.5572640019928785,-0.049357369045550326,"Low Volume, Stable Demand"
Tables,202810.628,598.5849814503799,645.8937197452229,0.001778745810587025,2,0.40822165787889364,0.5102308225368566,"High Volume, High Volatility"
